,close,high,low,open,volume
2013-02-18 11:09:00,10.62,10.64,10.55,10.57,2983682
2013-02-18 11:10:00,10.61,10.64,10.6,10.62,1171387
2013-02-18 11:11:00,10.61,10.62,10.6,10.61,1496717
2013-02-18 11:12:00,10.6,10.61,10.57,10.6,902167
2013-02-18 11:13:00,10.6,10.62,10.6,10.6,1603833
2013-02-18 11:14:00,10.59,10.6,10.58,10.6,1404500
2013-02-18 11:15:00,10.6,10.6,10.58,10.59,700260
2013-02-18 11:16:00,10.6,10.61,10.59,10.59,836360
2013-02-18 11:17:00,10.6,10.6,10.59,10.6,688456
2013-02-18 11:18:00,10.59,10.63,10.59,10.59,1423100
2013-02-18 11:19:00,10.6,10.6,10.59,10.6,979464
2013-02-18 11:20:00,10.61,10.62,10.59,10.61,798960
2013-02-18 11:21:00,10.59,10.61,10.59,10.61,495175
2013-02-18 11:22:00,10.57,10.59,10.55,10.59,1185638
2013-02-18 11:23:00,10.57,10.57,10.55,10.56,337464
2013-02-18 11:24:00,10.55,10.57,10.55,10.56,295323
2013-02-18 11:25:00,10.55,10.57,10.55,10.55,515000
2013-02-18 11:26:00,10.57,10.58,10.56,10.56,430655
2013-02-18 11:27:00,10.6,10.61,10.56,10.57,1419800
2013-02-18 11:28:00,10.58,10.6,10.57,10.6,87800
2013-02-18 11:29:00,10.58,10.59,10.56,10.58,189700
2013-02-18 11:30:00,10.57,10.58,10.57,10.58,7600
